parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	distribution	mu	sigma	granularity
k_output_species_29420	k_output_species_29420_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_109783	k_output_species_109783_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_29370	k_output_species_29370_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_179838	k_output_species_179838_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_output_species_167679	k_output_species_167679_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_112199	k_input_species_112199_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1225828	k_input_species_1225828_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_179849	k_input_species_179849_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_109796	k_input_species_109796_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_179856	k_input_species_179856_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1214162	k_input_species_1214162_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_29438	k_input_species_29438_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1221657	k_input_species_1221657_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_1806218	k_input_species_1806218_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_179863	k_input_species_179863_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_113592	k_input_species_113592_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_109797	k_input_species_109797_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_74680	k_input_species_74680_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_input_species_167682	k_input_species_167682_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637770	k_forcat_reaction_5637770_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637792	k_forcat_reaction_5637792_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637794	k_forcat_reaction_5637794_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1248002	k_forcat_reaction_1248002_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637806	k_forcat_reaction_5637806_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637806_catalyst_5637697	k_activator_modifierspeciesreference_5637806_catalyst_5637697_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1248655	k_forcat_reaction_1248655_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1248655_catalyst_1248010	k_activator_modifierspeciesreference_1248655_catalyst_1248010_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637765	k_forcat_reaction_5637765_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637800	k_forcat_reaction_5637800_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637801	k_forcat_reaction_5637801_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637801_catalyst_5637693	k_activator_modifierspeciesreference_5637801_catalyst_5637693_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637795	k_forcat_reaction_5637795_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637795_catalyst_5637698	k_activator_modifierspeciesreference_5637795_catalyst_5637698_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637796	k_forcat_reaction_5637796_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637796_catalyst_5637701	k_activator_modifierspeciesreference_5637796_catalyst_5637701_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637798	k_forcat_reaction_5637798_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637808	k_forcat_reaction_5637808_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637808_catalyst_5637704	k_activator_modifierspeciesreference_5637808_catalyst_5637704_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1247999	k_forcat_reaction_1247999_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637764	k_forcat_reaction_5637764_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5638137	k_forcat_reaction_5638137_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637766	k_forcat_reaction_5637766_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
scale_parameter	scale_parameter_name	log	0	20	0.0	1	normal	0.0	0.0	0.0
